date,polarity,sentiment,keyword
2018-09-16 04:31:51,neutral,0.0,climate change
2018-09-16 04:31:51,neutral,0.0,climate change
2018-09-16 04:31:42,negative,-0.11666666666666665,climate change
2018-09-16 04:32:35,negative,-0.4,climate change
2018-09-16 04:32:09,positive,0.6,climate change
2018-09-16 04:32:17,positive,0.25,climate change
2018-09-16 04:32:21,positive,0.2857142857142857,climate change
2018-09-16 04:33:36,neutral,0.0,warming
2018-09-16 04:33:30,neutral,0.0,climate change
2018-09-16 04:33:21,negative,-0.5,climate change
2018-09-16 04:32:51,neutral,0.0,climate change
2018-09-16 04:32:53,positive,0.03333333333333333,climate change
2018-09-16 04:34:15,neutral,0.0,wind
2018-09-16 04:34:11,negative,-0.8,climate change
2018-10-02 21:30:32,negative,-0.225,climate change
2018-10-02 21:30:04,positive,0.2,climate change
2018-10-02 21:28:58,negative,-0.090625,warming
2018-10-02 21:29:01,neutral,0.0,climate change
2018-10-02 21:30:29,neutral,0.0,warming
2018-10-02 21:29:20,positive,0.16,climate change
2018-10-02 21:30:07,neutral,0.0,warming
2018-10-02 21:29:01,positive,0.31666666666666665,climate change
2018-10-02 21:30:03,negative,-0.30000000000000004,climate change
2018-10-02 21:29:56,negative,-0.2,climate change
2018-10-02 21:29:15,neutral,0.0,climate change
2018-10-02 21:31:02,positive,0.35,warming
2018-10-02 21:30:21,neutral,0.0,warming
2018-10-02 21:29:22,neutral,0.0,climate change
2018-10-02 21:30:13,neutral,0.0,climate change
2018-10-02 21:29:33,negative,-0.10694444444444441,climate change
2018-10-02 21:31:44,positive,0.16,climate change
2018-10-02 21:33:59,neutral,0.0,warming
2018-10-02 21:32:42,negative,-1.0,climate change
2018-10-02 21:32:56,negative,-0.2,climate change
2018-10-02 21:32:04,neutral,0.0,climate change
2018-10-02 21:32:48,positive,0.4222222222222222,climate change
2018-10-02 21:32:40,neutral,0.0,climate change
2018-10-02 21:32:40,neutral,0.0,climate change
2018-10-02 21:33:43,positive,0.2,climate change
2018-10-02 21:33:13,positive,0.13636363636363635,climate change
2018-10-02 21:32:52,neutral,0.0,warming
2018-10-02 21:33:30,neutral,0.0,warming
2018-10-02 21:33:43,neutral,0.0,warming
2018-10-02 21:34:02,neutral,0.0,climate change
2018-10-02 21:33:13,negative,-0.2,climate change
2018-10-02 21:33:13,negative,-0.2,climate change
2018-10-02 21:33:49,neutral,0.0,climate change
2018-10-02 21:33:16,negative,-0.6,wind
2018-10-02 21:35:49,neutral,0.0,oil
2018-10-02 21:35:39,positive,0.1875,climate change
2018-10-02 21:35:17,neutral,0.0,oil
2018-10-02 21:35:38,neutral,0.0,warming
2018-10-02 21:34:09,negative,-0.125,coal
2018-10-02 21:34:36,neutral,0.0,climate change
2018-10-02 21:35:35,negative,-0.2,climate change
2018-10-02 21:34:59,neutral,0.0,climate change
2018-10-02 21:35:19,negative,-0.3333333333333333,climate change
2018-10-02 21:34:25,neutral,0.0,climate change
2018-10-02 21:36:02,positive,0.25,warming
2018-10-02 21:39:09,positive,0.5,climate change
2018-10-02 21:37:16,positive,0.11666666666666665,climate change
2018-10-02 21:39:23,neutral,0.0,climate change
2018-10-02 21:40:05,neutral,0.0,warming
2018-10-02 21:39:09,neutral,0.0,oil
2018-10-02 21:39:33,negative,-0.25,climate change
2018-10-02 21:37:22,neutral,0.0,warming
2018-10-02 21:38:12,positive,0.033333333333333326,climate change
2018-10-02 21:38:23,neutral,0.0,climate change
2018-10-02 21:39:20,neutral,0.0,climate change
2018-10-02 21:37:18,positive,0.5,oil
2018-10-02 21:38:15,neutral,0.0,warming
2018-10-02 21:40:15,neutral,0.0,warming
2018-10-02 21:38:29,positive,0.35,climate change
2018-10-02 21:36:48,neutral,0.0,climate change
2018-10-02 21:41:45,neutral,0.0,climate change
2018-10-02 21:41:36,neutral,0.0,climate change
